GND;author;count_exams
https://d-nb.info/gnd/118540238;Goethe;42
https://d-nb.info/gnd/11856109X;Keller;18
https://d-nb.info/gnd/118577166;Mann, Th.;17
https://d-nb.info/gnd/118514768;Brecht;16
https://d-nb.info/gnd/118563076;Kleist;16
https://d-nb.info/gnd/118572121;Lessing;16
https://d-nb.info/gnd/118607626;Schiller;14
https://d-nb.info/gnd/118516906;Büchner;13
https://d-nb.info/gnd/118534262;Fontane;13
https://d-nb.info/gnd/118548018;Heine;11
https://d-nb.info/gnd/118529390;Eichendorff;10
https://d-nb.info/gnd/118526200;Döblin;9
https://d-nb.info/gnd/118618156;Stifter;9
https://d-nb.info/gnd/118509047;Benn;8
https://d-nb.info/gnd/118543032;Gryphius;8
https://d-nb.info/gnd/118601024;Rilke;8
https://d-nb.info/gnd/118527533;Droste-Hülshoff;7
https://d-nb.info/gnd/118542273;Grimmelshausen;6
https://d-nb.info/gnd/118551981;Hölderlin;6
https://d-nb.info/gnd/118588893;Novalis;6
https://d-nb.info/gnd/118529374;Eich;5
https://d-nb.info/gnd/118552759;Hofmannsthal;5
https://d-nb.info/gnd/118607987;Schlegel, F.;5
https://d-nb.info/gnd/118623575;Trakl;5
https://d-nb.info/gnd/118515055;Brentano;4
https://d-nb.info/gnd/118583107;Mörike;4
https://d-nb.info/gnd/118514644;Braun;3
https://d-nb.info/gnd/118518801;Canetti;3
https://d-nb.info/gnd/118527908;Dürrenmatt;3
https://d-nb.info/gnd/118547453;Hebel;3
https://d-nb.info/gnd/118550683;Heym;3
https://d-nb.info/gnd/118553216;Holz;3
https://d-nb.info/gnd/118546937;Hauptmann;3
https://d-nb.info/gnd/118552465;Hoffmann;3
https://d-nb.info/gnd/118563386;Klopstock;3
https://d-nb.info/gnd/118581775;Meyer, C.F.;3
https://d-nb.info/gnd/118634666;Wolf, Ch.;3
https://d-nb.info/gnd/118505602;Bachmann;2
https://d-nb.info/gnd/118513451;Borchert;2
https://d-nb.info/gnd/118536109;Frisch;2
https://d-nb.info/gnd/11876442X;Hoddis;2
https://d-nb.info/gnd/118706187;Hoffmannswaldau;2
https://d-nb.info/gnd/118554212;Huchel;2
https://d-nb.info/gnd/118559230;Kafka;2
https://d-nb.info/gnd/118571656;Lenz, J.M.R.;2
https://d-nb.info/gnd/118574078;Lohenstein;2
https://d-nb.info/gnd/118586688;Neander;2
https://d-nb.info/gnd/118590111;Opitz;2
https://d-nb.info/gnd/118597442;Raabe;2
https://d-nb.info/gnd/118629867;Wedekind;2
"	https://d-nb.info/gnd/119539055";Bächler, W.;1
https://d-nb.info/gnd/118507931;Becher;1
https://d-nb.info/gnd/118509861;Bernhard;1
https://d-nb.info/gnd/118510665;Bidermann;1
https://d-nb.info/gnd/118510789;Biermann;1
https://d-nb.info/gnd/119312069;Blass;1
https://d-nb.info/gnd/118512161;Bobrowski;1
;Brendel, B.;1
https://d-nb.info/gnd/118515586;Brockes;1
https://d-nb.info/gnd/118519182;Carossa;1
https://d-nb.info/gnd/118519859;Celan;1
https://d-nb.info/gnd/120455293;Czechowski;1
https://d-nb.info/gnd/11852321X;Dach;1
https://d-nb.info/gnd/118530534;Enzensberger;1
https://d-nb.info/gnd/118535455;Freytag;1
https://d-nb.info/gnd/118703145;Fried;1
https://d-nb.info/gnd/118538322;Gellert;1
https://d-nb.info/gnd/11853856X;George;1
https://d-nb.info/gnd/118541358;Graf;1
https://d-nb.info/gnd/118541579;Grass;1
https://d-nb.info/gnd/118542257;Grimm, Jacob;0,5
https://d-nb.info/gnd/118542265;Grimm, Wilhelm;0,5
https://d-nb.info/gnd/118547453;Hebel;1
https://d-nb.info/gnd/118927884;Henscheid;1
https://d-nb.info/gnd/118549553;Herder;1
https://d-nb.info/gnd/118552023;Hölty;1
https://d-nb.info/gnd/118557211;Jean Paul;1
https://d-nb.info/gnd/118559206;Kästner, E.;1
https://d-nb.info/gnd/118564471;Koeppen;1
https://d-nb.info/gnd/118566997;Krolow;1
https://d-nb.info/gnd/118568051;Kunert;1
https://d-nb.info/gnd/118572628;Lichtenberg;1
https://d-nb.info/gnd/118728733;Loeben;1
https://d-nb.info/gnd/118575449;Luther;1
"	https://d-nb.info/gnd/118576577";Maiwald;1
https://d-nb.info/gnd/118577131;Mann, H.;1
https://d-nb.info/gnd/118747509;Meister, E.;1
https://d-nb.info/gnd/118584162;Moritz;1
https://d-nb.info/gnd/118584944;Müller, H.;1
https://d-nb.info/gnd/11883147X;Novak;1
https://d-nb.info/gnd/118594869;Platen;1
https://d-nb.info/gnd/118603957;Rühmkorf;1
https://d-nb.info/gnd/118754408;Schein;1
https://d-nb.info/gnd/11860743X;Schickele;1
https://d-nb.info/gnd/118758675;Schneider, P.;1
https://d-nb.info/gnd/118609807;Schnitzler;1
https://d-nb.info/gnd/119390388;Stadler;1
https://d-nb.info/gnd/119527405;Stettler, M.;1
https://d-nb.info/gnd/118755552;Stolberg;1
https://d-nb.info/gnd/118618830;Stramm;1
https://d-nb.info/gnd/118619047;Strauß;1
https://d-nb.info/gnd/12989432X;Tieck;1
https://d-nb.info/gnd/118625063;Uhland;1
;Vogt, H.;1
https://d-nb.info/gnd/118628097;Wackenroder;1
https://d-nb.info/gnd/118630539;Weiss, P.;1
https://d-nb.info/gnd/118632108;Wezel;1
https://d-nb.info/gnd/118633600;Winckelmann;1
https://d-nb.info/gnd/11864341X;Wolfenstein;1
https://d-nb.info/gnd/118636073;Zahl;1
