GND,author,title,year,prob_to_read
118503111,"Angelus, Silesius",Der Cherubinische Wandersmann,1675.0,1.0
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,1.0
118504185,"Arnim, Bettine von",Dies Buch gehört dem König,1843.0,1.0
118505602,"Bachmann, Ingeborg",Anrufung des Großen Bären,1956.0,1.0
118514210,"Bräker, Ulrich",Der arme Mann im Tockenburg,1788.0,1.0
118514768,"Brecht, Bertolt",Aus dem Lesebuch für Städtebewohner,1930.0,1.0
118515470,"Brinkmann, Rolf Dieter",Westwärts 1 & 2,1975.0,1.0
118515586,"Brockes, Barthold Heinrich",Kirschblüte bei der Nacht,1727.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118517880,"Busch, Wilhelm",Max und Moritz,1865.0,1.0
118518658,"Campe, Joachim Heinrich",Robinson der Jüngere,1779.0,1.0
118519859,"Celan, Paul",Mohn und Gedächtnis,1952.0,1.0
132957078,"Cotten, Ann",Fremdwörterbuchsonette,2007.0,1.0
118526200,"Döblin, Alfred",Die Ermordung einer Butterblume,1913.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
118528661,"Ebner-Eschenbach, Marie v.",Das Gemeindekind,1887.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118530259,"Ende, Michael",Die unendliche Geschichte,1979.0,1.0
118532839,"Fichte, Hubert",Die Palette,1968.0,1.0
118534262,"Fontane, Theodor","Irrungen, Wirrungen",1887.0,1.0
118538322,"Gellert, Christian Fürchtegott",Die zärtlichen Schwestern,1747.0,1.0
118690949,"Gerstenberg, Heinrich Wilhelm von",Ugolino,1768.0,1.0
118538969,"Geßner, Salomon",Idyllen,1756.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
119501651,"Goetz, Rainald",Irre,1983.0,1.0
118696734,"Gottsched, Luise Adelgunde Victorie",Die Pietisterey im Fischbein-Rocke,1736.0,1.0
118541102,"Grabbe, Christian Dietrich","Scherz, Satire, Ironie und tiefere Bedeutung",1827.0,1.0
118541978,"Greiffenberg, Katharina von","Geistliche Sonette, Lieder und Gedichte",1662.0,1.0
118542192,"Grillparzer, Franz",Der arme Spielmann,1848.0,1.0
118542257 + 118542265,"Grimm, Jacob und Wilhelm",Kinder- und Hausmärchen,1812.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Verlibtes Gespenste. Die gelibte Dornrose,1660.0,1.0
118543202,"Günderrode, Karoline von",Melete,1806.0,1.0
118700421,"Hagedorn, Friedrich von",Oden und Lieder in fünf Büchern,1747.0,1.0
118546139 + 118511270 + 118723324,"Harsdörffer, Georg Philipp/ Birken, Sigmund von/ Klaj, Johann",Pegnesisches Schäfergedicht,1644.0,1.0
118546937,"Hauptmann, Gerhart",Vor Sonnenaufgang,1889.0,1.0
118548018,"Heine, Heinrich",Romanzero,1851.0,1.0
124287646,"Herrndorf, Wolfgang",Tschick,2010.0,1.0
118552465,"Hoffmann, E.T.A.",Lebensansichten des Katers Murr,1820.0,1.0
11855249X,"Hoffmann, Heinrich",Der Struwwelpeter oder lustige Geschichten und drollige Bilder,1845.0,1.0
118551981,"Hölderlin, Friedrich",Der Wanderer,1797.0,1.0
118557211,Jean Paul,Siebenkäs,1796.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
118559230,"Kafka, Franz",Betrachtung,1912.0,1.0
118560395,"Kaschnitz, Marie Luise",Steht noch dahin,1970.0,1.0
118559206,"Kästner, Erich",Emil und die Detektive,1929.0,1.0
11856109X,"Keller, Gottfried",Die Leute von Seldwyla,1856.0,1.0
118722123,"Keun, Irmgard",Das kunstseidene Mädchen,1932.0,1.0
118563076,"Kleist, Heinrich von",Penthesilea,1808.0,1.0
118563386,"Klopstock, Friedrich Gottlob",Oden,1771.0,1.0
118564471,"Koeppen, Wolfgang",Tauben im Gras,1951.0,1.0
120013428,"Kracht, Christian",Faserland,1995.0,1.0
118569767,"La Roche, Sophie von",Die Geschichte des Fräuleins von Sternheim,1771.0,1.0
118569880,"Lasker-Schüler, Else",Mein blaues Klavier. Neue Gedichte,1943.0,1.0
118571508,"Lenau, Nikolaus",Gedichte,1832.0,1.0
118571656,"Lenz, Jakob Michael Reinhold",Die Soldaten,1776.0,1.0
118572121,"Lessing, Gotthold Ephraim",Nathan der Weise,1779.0,1.0
118574078,"Lohenstein, Daniel Caspar von",Cleopatra,1661.0,1.0
118577166,"Mann, Thomas",Der Zauberberg,1924.0,1.0
118732404,"Mayröcker, Friederike",Tod durch Musen,1966.0,1.0
118583107,"Mörike, Eduard",Gedichte,1838.0,1.0
118584162,"Moritz, Karl Philipp",Anton Reiser,1785.0,1.0
118584944,"Müller, Heiner",Die Hamletmaschine,1977.0,1.0
119053071,"Müller, Herta",Atemschaukel,2009.0,1.0
118585916,"Musil, Robert",Die Verwirrungen des Zöglings Törless,1906.0,1.0
118587080,"Nestroy, Johann",Der Talisman,1840.0,1.0
118738577,"Neuber, Friederike Caroline",Das Schäfer-Fest oder Die Herbstfreude,1753.0,1.0
118811738,"Nöstlinger, Christine",Wir pfeifen auf den Gurkenkönig,1972.0,1.0
118588893,Novalis,Vermischte Bemerkungen / Blüthenstaub-Fragmente,1798.0,1.0
1046069373,"Otoo, Sharon Dodua",Herr Gröttrup setzt sich hin,2016.0,1.0
119406586,"Özdamar, Emine Sevgi",Das Leben ist eine Karawanserei,1992.0,1.0
118529935,"Pfalz, Liselotte von der",Briefe,1692.0,1.0
124472249,"Pollesch, René",Kill your Darlings! Streets of Berladelphia,2012.0,1.0
118596438,"Preußler, Ottfried",Der Räuber Hotzenplotz,1962.0,1.0
118597442,"Raabe, Wilhelm",Die Akten des Vogelsangs,1896.0,1.0
118744070,"Reimann, Brigitte",Franziska Linkerhand,1974.0,1.0
118744690,"Reuter, Christian",Schelmuffskys warhafftige curiöse und sehr gefährliche Reisebeschreibung zu Wasser und zu Lande,1696.0,1.0
118600044,"Reventlow, Franziska von",Der Geldkomplex,1916.0,1.0
118601024,"Rilke, Rainer Maria",Neue Gedichte,1907.0,1.0
118603140,"Roth, Joseph",Radetzkymarsch,1932.0,1.0
118840819,"Salten, Felix",Bambi,1922.0,1.0
118607626,"Schiller, Friedrich",Der Geisterseher. Aus den Memoiren des Grafen von O**,1789.0,1.0
118607979,"Schlegel, Dorothea",Florentin,1801.0,1.0
118608703,"Schmidt, Arno",Schwarze Spiegel,1951.0,1.0
118609475,"Schnabel, Johann Gottfried",Die Insel Felsenburg,1731.0,1.0
118609807,"Schnitzler, Arthur",Der Reigen,1903.0,1.0
118762974,"Schwarz, Sibylla",Lyrik,1636.0,1.0
119310007,"Sebald, W. G.",Austerlitz,2001.0,1.0
118616455,"Spyri, Johanna",Heidis Lehr- und Wanderjahre,1880.0,1.0
118618156,"Stifter, Adalbert",Der Nachsommer,1857.0,1.0
118618725,"Storm, Theodor",Pole Poppenspäler,1874.0,1.0
12989432X,"Tieck, Ludwig",Phantasus,1812.0,1.0
118626175,"Varnhagen, Rahel",Rahel. Ein Buch des Andenkens für ihre Freunde,1833.0,1.0
118628860,"Walser, Robert",Kleine Dichtungen,1915.0,1.0
124021913,"Weber, Anne",Annette. Ein Heldinnenepos,2020.0,1.0
117208612,"Weerth, Georg",Leben und Thaten des berühmten Ritters Schnapphahnski,1848.0,1.0
119074664,"Weiskopf, Grete (Pseud. Alex Wedding)",Ede und Unku,1931.0,1.0
118630539,"Weiss, Peter",Marat/Sade,1964.0,1.0
118632477,"Wieland, Christoph Martin",Musarion,1780.0,1.0
